AIN,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,ASK_AMT,IS_SUCCESSFUL
352307720,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,1
352309546,T19,Independent,C1000,Preservation,Association,1,0,N,5000,0
352309660,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
352310968,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
352310969,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
352310972,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
352311600,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,1
352311700,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352315271,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,1
352316456,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
352316840,T3,CompanySponsored,C2800,Preservation,Association,1,0,N,5000,1
352318025,T6,Independent,C3000,ProductDev,Association,1,0,N,5000,0
352318860,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352319843,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
352320735,T4,CompanySponsored,C1300,ProductDev,Association,1,0,N,5000,0
352322333,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352322945,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
352324172,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
352328187,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
352329312,T7,Independent,C1000,ProductDev,Trust,1,25000-99999,N,53767,1
352331163,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352331236,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,37847,1
352331340,T19,Independent,C1000,Preservation,Association,1,0,N,5000,1
352332129,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,1
352332138,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352332228,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,1
352333966,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352335309,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
352335400,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
352335421,T7,Independent,C1000,ProductDev,Trust,1,100000-499999,N,91478,0
352338250,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352340129,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
352342180,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
352343346,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
352344483,T3,Independent,C5000,Preservation,Trust,1,0,N,5000,0
352345449,T19,Independent,C1000,ProductDev,Association,1,0,N,5000,0
352345967,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
352346243,T3,Independent,C2000,Preservation,Association,1,0,N,5000,1
352348589,T19,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
352350411,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352351800,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352353912,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
352355126,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
352356317,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,27507,1
352357362,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
352357568,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
352357943,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
352358913,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352362276,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
352362602,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,5000,0
352363357,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,6021620,1
352364224,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352364303,T3,Independent,C2000,Preservation,Association,1,0,N,5000,0
352364726,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,82403,1
352364815,T3,Independent,C1000,Preservation,Association,1,0,N,5000,1
352366086,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352367274,T3,Independent,C2100,Preservation,Trust,1,0,N,5000,1
352367420,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352367691,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,5000,0
352369245,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352369784,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
352369905,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
352371997,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352372931,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352376285,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,72305,1
352376629,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
352377423,T3,Independent,C1200,Preservation,Association,1,0,N,5000,0
352377635,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352379995,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352380375,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
352380377,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
352380378,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
352380379,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
352380381,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
352380383,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
352380385,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
352380386,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
352380387,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
352381098,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352381099,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352381687,T4,Independent,C3000,ProductDev,Trust,1,25000-99999,N,29830,1
352382323,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352383063,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352384047,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352384128,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352384861,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,5000,0
352385642,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,1
352386206,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
352388145,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
352389955,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,1
352395263,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352397883,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,914325,1
352398573,T5,Independent,C3000,ProductDev,Association,1,0,N,5000,0
352398750,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352399755,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
352400015,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
352403018,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
352403522,T3,Independent,C2000,Preservation,Trust,1,10000-24999,N,5175,1
352405287,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
352407249,T6,CompanySponsored,C1000,CommunityServ,Trust,1,0,N,5000,1
352407376,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,5000,0
352412691,T3,Independent,C1000,Preservation,Association,1,25000-99999,N,8324,0
352415944,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
352416421,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,42979,1
352416514,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,5000,0
352417520,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
352417722,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352419141,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
352420530,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
352421535,T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,214048,1
352421794,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
352422554,T3,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
352425869,T3,Independent,C7000,Preservation,Trust,1,100000-499999,N,15704,1
352429371,T6,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,1
352430743,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
352430992,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
352432499,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
352436106,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
352437305,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352438863,T3,Independent,C1600,Preservation,Trust,1,0,N,5000,1
352440075,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
352440151,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
352440547,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,19270,1
352441300,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
352443439,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352445367,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,5000,0
352445373,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352445658,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352445945,T7,Independent,C1000,ProductDev,Association,1,0,N,5000,1
352446797,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,181772,0
352447974,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
352450660,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
352451202,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352452376,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352452865,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
352453948,T6,Independent,C2000,ProductDev,Trust,1,100000-499999,N,54350,1
352455714,T3,CompanySponsored,C7100,Preservation,Trust,1,0,N,5000,1
352457762,T3,CompanySponsored,C1200,Preservation,Trust,1,100000-499999,N,7520,0
352458239,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352460742,T4,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
352460900,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,19929,1
352461159,T3,CompanySponsored,C2000,Preservation,Trust,1,10000-24999,N,18340,1
352461221,T8,Independent,C1000,Preservation,Association,1,10000-24999,N,5000,0
352461698,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,5000,0
352462453,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,10684,1
352463755,T19,Independent,C1000,ProductDev,Trust,1,25000-99999,N,51148,1
352465558,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352476682,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,20343,1
352476748,T19,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352477571,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
352478959,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,1
352479939,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352481512,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
352485599,T5,Independent,C3000,ProductDev,Association,1,1-9999,N,10139,0
352485956,T3,Independent,C1000,Preservation,Association,1,100000-499999,N,54220,0
352486113,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
352488166,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
352490850,T3,Independent,C1200,Preservation,Association,1,0,N,5000,1
352491028,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
352492810,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
352493287,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,5000,0
352495063,T7,Independent,C1000,ProductDev,Trust,1,100000-499999,N,14186,1
352498198,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352503413,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352504904,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,1
352506477,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,1
352511159,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
352514664,T4,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
352514755,T3,Regional,C2000,Preservation,Association,1,0,N,5000,1
352515963,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
352516380,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
352516737,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
352517116,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352518583,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352518979,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352519113,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352520845,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352521635,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352522089,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352523450,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,0
352523563,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
352523715,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
352525259,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352526431,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
352531066,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
352534520,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
352535796,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352537180,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
352537631,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
352538290,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352538618,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352539227,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352539260,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352539301,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352539519,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352540557,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352540610,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352540693,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
352540738,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352540794,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352540852,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352540855,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352541718,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352547904,T3,CompanySponsored,C7000,Preservation,Association,1,0,N,5000,0
352555620,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
352555680,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352555822,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352556153,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352556195,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352556201,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352556259,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352556296,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352556367,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
352556511,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352557539,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352557655,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352557925,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352558441,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352558442,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352560893,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352560925,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352561425,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
352561579,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352561858,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352562499,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352564280,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352567396,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352567494,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352569219,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
352570680,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352572271,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
352576771,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352577185,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352579190,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352582070,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
352583396,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
356047411,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
356066755,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
356739129,T4,Independent,C3000,ProductDev,Trust,1,100000-499999,N,466112,1
356768209,T9,Independent,C1000,ProductDev,Co-operative,1,1M-5M,N,13407664,0
356938445,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1974843,1
356967427,T9,Independent,C1000,ProductDev,Co-operative,1,1M-5M,N,837656,1
356988004,T9,Independent,C1000,ProductDev,Co-operative,1,0,N,5000,1
357042070,T9,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,1544279,1
360240871,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
361099040,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,2218509,1
363017740,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1231985,0
363149942,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
363201367,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,1
363383767,T3,CompanySponsored,C7000,Preservation,Association,1,25000-99999,N,10478,0
363398472,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
363411743,T3,Family/Parent,C7000,Preservation,Trust,1,0,N,5000,1
363533788,T3,Independent,C7100,Preservation,Trust,1,0,N,5000,1
363549795,T3,Independent,C2000,Preservation,Association,1,0,N,5000,0
363615560,T6,Independent,C1000,ProductDev,Trust,1,25000-99999,N,25922,1
363637113,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
363652811,T6,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,1
363684492,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
363712913,T3,Family/Parent,C1000,Preservation,Trust,1,1M-5M,N,894612,1
363717499,T9,Independent,C1000,ProductDev,Co-operative,1,0,N,60610,1
363753599,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
363758130,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
363772605,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
363792662,T3,Independent,C1000,Preservation,Co-operative,1,25000-99999,N,296415,1
363812508,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
363841932,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
363855337,T3,CompanySponsored,C1200,Preservation,Trust,1,25000-99999,N,7756,0
363878072,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,1
363878730,T5,Independent,C3000,ProductDev,Association,1,25000-99999,N,16627,1
363881847,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,1
363887829,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
363893721,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
363896840,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1844007,1
363913733,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
363919335,T6,CompanySponsored,C2000,ProductDev,Trust,1,0,N,5000,1
363934805,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
363980912,T4,Independent,C1000,ProductDev,Association,1,0,N,5000,0
363982004,T4,Independent,C3000,ProductDev,Association,1,0,N,5000,0
364016275,T3,Independent,C1000,Preservation,Trust,1,50M+,N,70915708,1
364033443,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,88725,1
364053979,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
364081104,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
364160878,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1660217,1
364171921,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
364173880,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
364253670,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,86434,0
364255194,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,39415,1
364292835,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
364315613,T19,Independent,C1000,Preservation,Trust,1,0,N,5000,1
364349987,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
364393931,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
364432137,T6,CompanySponsored,C2000,CommunityServ,Trust,1,0,N,5000,0
364488806,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,71214,1
364494026,T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,29647,1
364499707,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
364518143,T3,Independent,C2100,Preservation,Trust,1,0,N,5000,1
364518650,T5,Independent,C3000,ProductDev,Trust,1,100000-499999,N,203841,1
364518762,T5,CompanySponsored,C3000,ProductDev,Association,1,1-9999,N,5000,0
364518973,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
364522219,T25,Independent,C1000,ProductDev,Trust,1,100000-499999,N,1781043,1
364525390,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
364527665,T3,Independent,C1200,Preservation,Association,1,25000-99999,N,12759,0
364533347,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,23271,1
364533809,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,243985,0
364537062,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,1
364544875,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
364547039,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
364549863,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
364555153,T6,Independent,C2000,ProductDev,Trust,1,1-9999,N,17084,1
364557623,T3,Independent,C7000,Preservation,Trust,1,100000-499999,N,1306544,0
364559670,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
364560436,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
364564779,T3,Independent,C7100,Preservation,Trust,1,0,N,5000,1
364567830,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
364568884,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,1
364569115,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
364571903,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1257552,1
364572279,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
364574776,T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
364577969,T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
364580592,T4,Independent,C1000,ProductDev,Trust,1,1M-5M,N,3209812,1
364581474,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
364582437,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,123222,0
364583511,T3,CompanySponsored,C1000,CommunityServ,Trust,1,0,N,5000,0
364585073,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
364585357,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
364587961,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
364588644,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
364589441,T3,CompanySponsored,C1000,CommunityServ,Trust,1,0,N,5000,0
364590308,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
364591511,T3,CompanySponsored,C1000,Preservation,Trust,1,5M-10M,N,25974898,1
364593117,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
364593880,T3,CompanySponsored,C2000,Preservation,Trust,1,100000-499999,N,28798,0
364593990,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
364596650,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,87488,1
364598381,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
364600394,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
364600431,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
364600942,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,46327,1
364604098,T8,Independent,C1000,ProductDev,Association,1,0,N,5000,1
364607353,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
364608343,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,30422,1
364613736,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
364615188,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
364615787,T3,Independent,C2000,Preservation,Association,1,0,N,5000,0
364617809,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,65193,1
364618937,T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
364619322,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,51930,0
364622085,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
364622368,T3,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
364622975,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
364624222,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,1
364624340,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
364624702,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
364626358,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
364627304,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
364627927,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
364629860,T10,CompanySponsored,C1000,Preservation,Association,1,1-9999,N,5000,1
364631038,T7,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
364631615,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
364631835,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,53569816,0
364632258,T19,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
364632643,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
364633656,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
364633819,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
364635379,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,1886200,0
364635721,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
